region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 3,3,31,Unmarried,1,28,Did not complete high school,0,No,Male,1,Yes,Yes,Yes,No,3,16,23,24,0,13,49,63,45,0,No,No,No,Yes,No,No,Yes,No,No,1.24,2.74,3.15,3.16,,3.33,Basic service,Yes
Zone 2,51,48,Unmarried,12,64,High school degree,22,No,Female,1,No,No,Yes,No,15,0,0,17,0,708,0,0,820,0,No,No,No,No,No,No,No,No,No,2.69,,,2.83,,4.16,Basic service,No
Zone 3,33,41,Unmarried,15,37,High school degree,11,No,Male,1,No,No,No,No,12,0,0,0,0,415,0,0,0,0,No,No,No,No,No,No,No,No,No,2.50,,,,,3.61,Basic service,No
Zone 3,14,47,Married,7,48,Did not complete high school,13,No,Male,2,Yes,No,No,No,4,11,0,0,0,56,126,0,0,0,No,No,No,No,No,No,No,Yes,No,1.45,2.40,,,,3.87,Basic service,No
Zone 1,17,42,Married,6,131,Post-undergraduate degree,6,No,Male,3,No,Yes,No,Yes,6,0,35,0,22,103,0,528,0,331,Yes,No,No,Yes,No,No,No,No,Yes,1.76,,3.57,,3.08,4.88,E-service,Yes
Zone 3,19,29,Married,9,18,High school degree,2,No,Male,3,No,No,No,No,5,0,0,0,0,109,0,0,0,0,No,No,No,Yes,No,No,Yes,No,Yes,1.69,,,,,2.89,Basic service,Yes
Zone 2,58,36,Unmarried,10,38,High school degree,14,No,Female,1,No,No,Yes,No,10,0,0,18,0,539,0,0,1030,0,Yes,No,No,No,No,No,No,No,No,2.32,,,2.88,,3.64,E-service,No
Zone 3,22,23,Unmarried,3,37,High school degree,4,No,Female,3,No,Yes,Yes,Yes,5,0,28,9,25,144,0,602,200,504,No,Yes,No,Yes,Yes,No,No,Yes,Yes,1.68,,3.34,2.20,3.21,3.61,Total service,No
Zone 2,29,31,Married,1,60,College degree,6,No,Male,5,No,Yes,No,No,10,0,27,0,0,244,0,731,0,0,Yes,No,No,Yes,No,No,No,No,Yes,2.26,,3.29,,,4.09,E-service,Yes
Zone 3,14,22,Married,2,13,Some college,0,No,Female,4,No,Yes,No,No,9,0,27,0,0,118,0,364,0,0,Yes,No,No,Yes,No,No,No,No,No,2.25,,3.29,,,2.56,E-service,Yes
Zone 2,70,64,Married,18,98,Did not complete high school,31,No,Female,2,Yes,No,Yes,Yes,26,84,0,11,45,1805,5850,0,720,3243,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.26,4.43,,2.42,3.82,4.58,Total service,No
Zone 1,62,52,Married,2,195,Did not complete high school,23,No,Male,2,Yes,No,Yes,Yes,23,37,0,36,34,1421,2308,0,2205,2083,Yes,No,No,No,No,No,Yes,Yes,No,3.14,3.60,,3.58,3.54,5.27,Plus service,Yes
Zone 2,7,35,Married,0,47,Did not complete high school,14,No,Male,5,No,No,No,No,5,0,0,0,0,47,0,0,0,0,No,No,No,No,No,No,No,No,No,1.65,,,,,3.85,Basic service,Yes
Zone 1,56,47,Married,19,65,High school degree,22,No,Male,3,Yes,No,Yes,Yes,12,49,0,37,58,744,2696,0,2070,3084,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.52,3.89,,3.60,4.07,4.17,Total service,No
Zone 1,50,50,Married,22,150,Post-undergraduate degree,5,No,Female,4,No,Yes,Yes,No,19,0,33,51,0,931,0,1719,2585,0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,2.96,,3.51,3.93,,5.01,E-service,Yes
Zone 2,57,39,Unmarried,6,106,Post-undergraduate degree,8,No,Male,1,Yes,Yes,Yes,Yes,9,24,42,12,40,568,1486,2291,740,2184,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2.20,3.19,3.73,2.51,3.68,4.66,Plus service,No
Zone 3,2,40,Unmarried,19,51,College degree,14,No,Female,1,No,No,No,No,4,0,0,0,0,7,0,0,0,0,No,Yes,No,Yes,No,No,No,No,Yes,1.45,,,,,3.93,Basic service,No
Zone 2,40,38,Unmarried,17,96,College degree,0,No,Female,1,No,No,No,No,9,0,0,0,0,316,0,0,0,0,No,No,No,No,No,No,No,No,No,2.23,,,,,4.56,Basic service,No
Zone 2,6,43,Unmarried,4,33,Post-undergraduate degree,7,No,Male,2,No,No,Yes,Yes,4,0,0,16,27,30,0,0,85,147,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1.45,,,2.79,3.29,3.50,Plus service,No
Zone 3,23,25,Married,6,38,High school degree,1,No,Female,3,Yes,Yes,Yes,No,14,23,29,4,0,255,575,621,65,0,Yes,No,Yes,No,No,Yes,Yes,No,No,2.63,3.15,3.35,1.32,,3.64,Plus service,No
Zone 3,11,32,Unmarried,6,125,College degree,5,No,Male,1,Yes,Yes,Yes,Yes,4,19,61,19,58,32,233,579,200,578,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.34,2.96,4.12,2.94,4.06,4.83,Total service,Yes
Zone 1,29,37,Married,13,145,Post-undergraduate degree,0,No,Female,4,Yes,Yes,Yes,Yes,9,24,41,18,28,241,713,1201,495,723,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.15,3.18,3.72,2.88,3.33,4.98,Total service,No
Zone 1,42,44,Married,2,99,High school degree,21,No,Male,3,Yes,No,Yes,No,22,35,0,10,0,842,1502,0,395,0,Yes,No,No,No,No,Yes,No,Yes,No,3.09,3.55,,2.28,,4.60,Plus service,No
Zone 1,20,34,Married,2,22,College degree,0,No,Female,3,Yes,Yes,Yes,Yes,5,18,35,35,32,75,339,731,635,571,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.58,2.90,3.56,3.55,3.45,3.09,Total service,No
Zone 2,72,60,Married,21,31,Did not complete high school,38,Yes,Male,2,No,No,Yes,No,32,0,0,34,0,2349,0,0,2385,0,Yes,No,No,No,No,No,No,No,No,3.47,,,3.51,,3.43,E-service,No
Zone 1,2,36,Unmarried,3,25,Did not complete high school,6,No,Female,1,Yes,Yes,Yes,Yes,2,16,29,5,24,4,23,29,5,21,No,No,Yes,No,Yes,Yes,Yes,Yes,No,0.64,2.76,3.36,1.61,3.18,3.22,Plus service,No
Zone 3,46,25,Unmarried,5,57,Post-undergraduate degree,0,No,Female,2,Yes,Yes,Yes,Yes,20,21,39,10,28,924,969,1749,445,1246,No,No,No,Yes,No,No,Yes,Yes,Yes,3.01,3.06,3.67,2.28,3.34,4.04,Basic service,No
Zone 2,39,51,Married,21,41,Post-undergraduate degree,20,No,Male,6,Yes,Yes,Yes,Yes,12,21,54,10,35,493,910,2060,330,1301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.49,3.02,3.99,2.28,3.57,3.71,Total service,No
Zone 3,24,25,Married,1,20,Some college,1,No,Female,2,No,Yes,No,No,8,0,28,0,0,209,0,616,0,0,Yes,No,No,Yes,Yes,No,Yes,No,No,2.10,,3.33,,,3.00,E-service,Yes
Zone 3,59,43,Married,4,101,High school degree,22,No,Female,5,No,No,Yes,No,14,0,0,21,0,818,0,0,1195,0,Yes,No,No,No,No,No,No,Yes,No,2.61,,,3.03,,4.62,E-service,No
Zone 1,65,37,Unmarried,8,56,High school degree,15,No,Male,1,No,No,Yes,No,10,0,0,11,0,682,0,0,655,0,Yes,No,No,No,No,No,No,No,No,2.33,,,2.37,,4.03,E-service,No
Zone 2,50,27,Married,5,22,High school degree,5,No,Female,3,No,No,Yes,No,17,0,0,13,0,893,0,0,750,0,No,No,No,No,No,No,No,No,No,2.84,,,2.58,,3.09,Basic service,No
Zone 1,57,37,Unmarried,11,108,College degree,9,No,Female,1,Yes,Yes,Yes,No,22,27,42,8,0,1292,1492,2395,425,0,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3.08,3.31,3.74,2.08,,4.68,Plus service,No
Zone 3,61,48,Unmarried,14,115,College degree,20,No,Female,1,Yes,Yes,Yes,Yes,13,16,39,17,31,786,954,2410,1015,1799,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2.55,2.77,3.67,2.85,3.43,4.74,Total service,No
Zone 3,34,54,Unmarried,31,53,College degree,22,No,Male,1,Yes,Yes,Yes,Yes,8,18,46,57,67,225,588,1464,1880,2305,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2.09,2.89,3.82,4.03,4.20,3.97,Total service,No
Zone 3,38,53,Unmarried,13,242,College degree,12,No,Male,1,Yes,Yes,Yes,Yes,9,38,54,29,51,396,1556,1979,1020,1935,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.19,3.63,3.99,3.35,3.93,5.49,Total service,No
Zone 1,3,24,Married,2,20,High school degree,3,No,Female,5,Yes,No,Yes,No,3,23,0,9,0,8,50,0,15,0,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1.21,3.11,,2.22,,3.00,Plus service,No
Zone 2,4,47,Unmarried,5,123,College degree,11,No,Male,1,No,Yes,Yes,No,3,0,25,14,0,9,0,100,40,0,No,No,No,Yes,No,No,Yes,No,Yes,0.92,,3.23,2.62,,4.81,Basic service,No
Zone 2,15,35,Unmarried,0,34,Did not complete high school,12,No,Male,1,No,No,No,No,4,0,0,0,0,48,0,0,0,0,No,No,No,No,No,No,No,No,No,1.37,,,,,3.53,Basic service,No
Zone 1,25,29,Married,8,31,College degree,3,No,Female,5,No,Yes,No,No,13,0,33,0,0,349,0,833,0,0,Yes,No,No,Yes,No,No,No,No,Yes,2.56,,3.50,,,3.43,E-service,Yes
Zone 3,21,44,Unmarried,25,47,Did not complete high school,12,No,Female,2,No,No,Yes,No,7,0,0,15,0,182,0,0,285,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.95,,,2.67,,3.85,Plus service,No
Zone 3,50,37,Married,11,48,Some college,8,No,Female,2,Yes,No,Yes,No,13,28,0,9,0,670,1445,0,445,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.56,3.32,,2.17,,3.87,Plus service,No
Zone 2,65,64,Married,22,13,High school degree,5,Yes,Female,3,Yes,No,Yes,No,15,33,0,16,0,922,1990,0,930,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.68,3.50,,2.76,,2.56,Plus service,No
Zone 2,59,52,Married,18,78,Did not complete high school,25,No,Male,2,No,No,No,No,19,0,0,0,0,1179,0,0,0,0,No,No,No,No,No,No,No,No,No,2.92,,,,,4.36,Basic service,No
Zone 3,29,26,Unmarried,7,34,Did not complete high school,7,No,Female,2,No,No,Yes,No,7,0,0,16,0,199,0,0,490,0,No,No,No,No,Yes,Yes,No,No,No,1.87,,,2.77,,3.53,Plus service,No
Zone 1,60,46,Unmarried,17,81,Post-undergraduate degree,9,No,Female,1,No,Yes,Yes,No,17,0,39,10,0,1067,0,2332,610,0,Yes,No,No,Yes,No,No,No,No,Yes,2.86,,3.67,2.33,,4.39,E-service,No
Zone 1,71,45,Married,14,86,High school degree,25,No,Male,2,No,Yes,Yes,No,45,0,33,35,0,3236,0,2386,2495,0,Yes,No,No,Yes,No,No,No,No,No,3.81,,3.50,3.56,,4.45,E-service,No
Zone 3,38,27,Married,0,26,College degree,2,No,Male,4,No,Yes,Yes,Yes,12,0,39,9,28,478,0,1430,365,1111,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2.50,,3.66,2.22,3.33,3.26,Total service,Yes
Zone 3,16,34,Married,5,51,High school degree,8,No,Female,5,No,No,Yes,No,5,0,0,17,0,62,0,0,260,0,No,No,No,No,No,No,No,No,No,1.55,,,2.80,,3.93,Basic service,No
Zone 3,7,31,Unmarried,10,59,Some college,10,No,Male,1,No,Yes,No,No,2,0,30,0,0,16,0,170,0,0,No,Yes,No,No,No,Yes,No,No,Yes,0.90,,3.39,,,4.08,Basic service,No
Zone 1,59,53,Unmarried,21,112,College degree,16,No,Male,1,No,Yes,No,Yes,21,0,39,0,25,1236,0,2190,0,1465,Yes,No,No,Yes,No,No,No,No,Yes,3.05,,3.65,,3.23,4.72,E-service,Yes
Zone 2,22,56,Married,14,57,College degree,28,No,Male,2,Yes,Yes,Yes,Yes,6,18,37,11,29,135,418,748,250,650,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.82,2.90,3.60,2.35,3.36,4.04,Total service,No
Zone 1,18,48,Married,20,41,Did not complete high school,2,No,Female,2,Yes,No,Yes,No,4,13,0,8,0,59,221,0,135,0,No,No,No,No,Yes,Yes,No,No,No,1.47,2.56,,2.08,,3.71,Basic service,No
Zone 2,64,46,Married,19,168,High school degree,26,No,Female,2,Yes,Yes,Yes,Yes,14,71,74,39,62,929,4668,4758,2460,3704,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.65,4.26,4.30,3.66,4.13,5.12,Total service,No
Zone 2,7,33,Unmarried,4,29,College degree,4,No,Female,3,No,Yes,No,No,5,0,28,0,0,35,0,167,0,0,No,No,No,Yes,No,No,No,No,Yes,1.54,,3.34,,,3.37,Basic service,Yes
Zone 3,65,58,Unmarried,13,167,High school degree,14,No,Female,2,No,No,Yes,No,24,0,0,17,0,1642,0,0,1110,0,Yes,No,No,No,No,No,No,No,No,3.19,,,2.85,,5.12,E-service,No
Zone 3,7,24,Unmarried,5,29,High school degree,3,No,Male,3,Yes,No,No,No,4,14,0,0,0,44,110,0,0,0,No,No,Yes,Yes,No,No,No,Yes,No,1.49,2.60,,,,3.37,Basic service,Yes
Zone 1,64,55,Unmarried,28,104,Did not complete high school,26,No,Female,1,No,No,Yes,No,15,0,0,39,0,961,0,0,2360,0,No,No,No,No,Yes,No,No,Yes,No,2.71,,,3.67,,4.64,Plus service,No
Zone 3,42,22,Married,0,46,College degree,0,No,Male,2,Yes,Yes,Yes,Yes,9,20,51,6,36,312,851,2100,270,1504,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2.24,3.01,3.94,1.79,3.58,3.83,Total service,Yes
Zone 3,33,26,Unmarried,5,46,College degree,1,No,Female,3,Yes,Yes,Yes,Yes,11,18,41,6,32,350,593,1348,185,1010,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.40,2.86,3.71,1.79,3.47,3.83,Total service,No
Zone 1,3,33,Unmarried,8,51,College degree,0,No,Female,1,No,Yes,No,No,3,0,20,0,0,12,0,40,0,0,No,No,No,No,No,No,No,No,No,1.06,,2.99,,,3.93,Basic service,Yes
Zone 2,69,42,Married,11,65,High school degree,18,No,Male,2,Yes,Yes,Yes,Yes,14,31,64,32,67,1008,2083,4168,2125,4400,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.65,3.42,4.16,3.45,4.20,4.17,Total service,No
Zone 2,9,33,Unmarried,1,48,High school degree,13,No,Male,2,Yes,No,Yes,No,3,13,0,31,0,40,110,0,275,0,No,No,No,No,Yes,Yes,No,No,No,1.15,2.58,,3.42,,3.87,Basic service,No
Zone 3,22,34,Married,1,46,Some college,1,No,Male,4,No,Yes,No,No,7,0,23,0,0,125,0,484,0,0,Yes,No,No,Yes,No,No,No,No,No,1.96,,3.15,,,3.83,E-service,No
Zone 2,53,63,Married,15,43,High school degree,18,No,Male,2,No,Yes,Yes,No,15,0,37,11,0,809,0,2013,535,0,Yes,No,No,Yes,No,No,No,No,Yes,2.70,,3.61,2.40,,3.76,E-service,No
Zone 3,71,53,Unmarried,30,110,Did not complete high school,34,No,Male,1,No,No,Yes,No,17,0,0,15,0,1250,0,0,1100,0,Yes,No,No,No,No,No,No,No,No,2.86,,,2.69,,4.70,E-service,No
Zone 3,24,26,Unmarried,2,32,Some college,2,No,Male,3,No,No,No,No,4,0,0,0,0,97,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.45,,,,,3.47,Basic service,No
Zone 3,12,22,Married,1,18,Some college,0,No,Female,2,No,No,No,No,5,0,0,0,0,58,0,0,0,0,No,No,No,Yes,No,No,No,No,Yes,1.54,,,,,2.89,Basic service,No
Zone 1,25,39,Married,1,26,College degree,0,No,Male,4,No,Yes,Yes,Yes,14,0,36,23,25,350,0,895,515,641,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2.67,,3.58,3.14,3.21,3.26,E-service,Yes
Zone 3,63,28,Married,9,34,High school degree,10,No,Female,6,Yes,No,Yes,Yes,15,40,0,18,45,934,2465,0,1120,2770,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.71,3.69,,2.86,3.81,3.53,Plus service,No
Zone 1,33,54,Married,18,57,College degree,4,No,Female,3,Yes,Yes,No,No,8,30,34,0,0,226,1106,1109,0,0,Yes,No,No,Yes,Yes,Yes,Yes,No,No,2.01,3.41,3.52,,,4.04,Plus service,Yes
Zone 2,57,54,Married,20,21,High school degree,0,No,Female,3,No,No,Yes,No,11,0,0,17,0,566,0,0,930,0,No,No,No,No,No,No,No,No,No,2.36,,,2.83,,3.04,Basic service,No
Zone 3,13,33,Unmarried,7,38,Some college,10,No,Female,1,Yes,Yes,Yes,Yes,5,19,41,13,29,49,200,481,155,319,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1.62,2.92,3.71,2.53,3.36,3.64,Total service,No
Zone 1,13,21,Unmarried,2,19,Some college,0,No,Female,1,No,Yes,Yes,No,8,0,25,5,0,98,0,312,40,0,Yes,No,No,Yes,No,No,No,No,No,2.07,,3.23,1.61,,2.94,E-service,Yes
Zone 1,71,39,Unmarried,2,40,Some college,17,No,Male,1,Yes,No,Yes,No,36,28,0,39,0,2554,1916,0,2620,0,Yes,Yes,No,No,No,Yes,No,Yes,No,3.59,3.32,,3.65,,3.69,Plus service,No
Zone 3,18,69,Married,11,58,Some college,8,No,Male,2,Yes,Yes,Yes,Yes,6,27,54,12,63,118,454,897,175,1050,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.85,3.31,3.99,2.46,4.14,4.06,Total service,No
Zone 1,17,51,Married,10,95,High school degree,15,No,Female,2,No,No,No,No,7,0,0,0,0,133,0,0,0,0,No,No,No,No,No,No,No,No,No,2.01,,,,,4.55,Basic service,Yes
Zone 2,22,43,Unmarried,4,114,High school degree,19,No,Male,1,No,Yes,No,No,9,0,23,0,0,203,0,429,0,0,No,No,No,No,No,No,No,No,No,2.22,,3.12,,,4.74,Basic service,No
Zone 2,65,65,Married,27,128,Some college,24,No,Male,2,Yes,No,Yes,No,21,24,0,15,0,1325,1484,0,940,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.05,3.18,,2.67,,4.85,Plus service,No
Zone 3,7,40,Unmarried,9,33,College degree,2,No,Female,1,No,No,No,No,3,0,0,0,0,17,0,0,0,0,No,No,No,Yes,No,No,No,No,Yes,1.03,,,,,3.50,Basic service,No
Zone 3,72,66,Unmarried,30,460,College degree,41,No,Female,1,No,Yes,Yes,No,89,0,47,19,0,6354,0,3411,1245,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,4.49,,3.84,2.93,,6.13,Total service,No
Zone 1,35,43,Unmarried,12,224,Some college,17,No,Male,1,No,No,Yes,No,8,0,0,10,0,272,0,0,330,0,No,No,No,No,No,No,No,No,No,2.04,,,2.25,,5.41,Basic service,No
Zone 1,24,39,Unmarried,2,122,College degree,12,No,Male,3,Yes,No,Yes,Yes,4,26,0,10,36,98,626,0,210,845,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1.49,3.27,,2.28,3.58,4.80,Total service,No
Zone 1,64,24,Married,0,23,Some college,1,No,Female,5,No,Yes,No,No,7,0,36,0,0,395,0,2182,0,0,Yes,No,No,Yes,No,Yes,No,Yes,No,1.95,,3.57,,,3.14,E-service,No
Zone 2,63,63,Married,19,191,Some college,27,No,Male,2,No,No,Yes,No,13,0,0,7,0,782,0,0,435,0,Yes,No,No,No,No,No,No,No,No,2.54,,,1.95,,5.25,E-service,No
Zone 1,38,31,Married,7,187,College degree,6,No,Male,3,Yes,No,Yes,Yes,13,21,0,34,48,449,834,0,1165,1802,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.54,3.06,,3.53,3.87,5.23,Total service,Yes
Zone 2,29,37,Married,9,119,Some college,12,No,Male,3,No,No,No,No,5,0,0,0,0,139,0,0,0,0,No,No,No,No,No,No,No,No,No,1.53,,,,,4.78,Basic service,No
Zone 1,72,69,Married,49,44,High school degree,44,Yes,Female,2,No,No,Yes,No,100,0,0,13,0,7258,0,0,875,0,Yes,No,No,No,No,Yes,No,Yes,No,4.60,,,2.53,,3.78,Plus service,No
Zone 1,10,27,Married,2,15,Some college,2,No,Female,2,Yes,Yes,Yes,Yes,8,13,49,8,40,66,155,442,60,377,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.01,2.55,3.88,2.01,3.68,2.71,Total service,Yes
Zone 3,72,64,Unmarried,41,674,College degree,37,No,Female,1,Yes,No,Yes,Yes,50,33,0,49,60,3536,2378,0,3465,4366,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.90,3.49,,3.89,4.10,6.51,Plus service,No
Zone 3,52,23,Married,4,33,College degree,0,No,Female,2,Yes,No,Yes,No,13,18,0,19,0,758,945,0,920,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.57,2.90,,2.93,,3.50,Plus service,No
Zone 3,13,55,Unmarried,3,250,High school degree,35,No,Female,2,No,No,No,No,4,0,0,0,0,50,0,0,0,0,No,No,No,No,No,No,No,No,No,1.41,,,,,5.52,Basic service,No
Zone 1,3,33,Unmarried,6,64,College degree,0,No,Male,2,No,Yes,No,No,2,0,21,0,0,6,0,53,0,0,No,No,No,No,No,No,No,No,Yes,0.77,,3.03,,,4.16,Basic service,Yes
Zone 3,39,24,Married,2,26,High school degree,4,No,Male,4,No,No,Yes,No,10,0,0,13,0,404,0,0,480,0,No,No,No,No,No,No,No,No,Yes,2.34,,,2.53,,3.26,Basic service,Yes
Zone 2,28,29,Unmarried,4,23,Some college,5,No,Male,2,No,No,No,No,4,0,0,0,0,92,0,0,0,0,Yes,No,No,Yes,No,No,Yes,Yes,Yes,1.31,,,,,3.14,E-service,No
Zone 2,46,42,Unmarried,9,52,College degree,7,No,Male,3,No,No,Yes,No,14,0,0,21,0,612,0,0,985,0,Yes,No,No,No,No,No,No,No,No,2.66,,,3.04,,3.95,E-service,No
Zone 2,62,46,Unmarried,27,200,Some college,9,No,Female,1,No,No,Yes,No,26,0,0,74,0,1625,0,0,4590,0,No,No,No,No,No,No,No,No,No,3.27,,,4.30,,5.30,Basic service,No
Zone 2,23,33,Married,7,28,Did not complete high school,4,No,Male,2,No,No,Yes,No,7,0,0,14,0,177,0,0,340,0,No,No,No,No,Yes,Yes,Yes,No,No,1.93,,,2.64,,3.33,Plus service,No
Zone 3,23,25,Married,5,19,Post-undergraduate degree,0,No,Male,3,Yes,Yes,No,No,7,25,37,0,0,157,562,829,0,0,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1.94,3.22,3.60,,,2.94,Total service,Yes
Zone 2,72,61,Married,39,76,Some college,21,No,Male,2,Yes,Yes,Yes,Yes,55,67,51,70,56,3984,4906,3762,4975,4098,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.00,4.21,3.94,4.24,4.02,4.33,Total service,No
Zone 3,56,60,Unmarried,26,70,High school degree,20,No,Male,1,No,Yes,No,Yes,8,0,29,0,26,397,0,1638,0,1341,No,No,No,No,No,No,No,No,Yes,2.05,,3.38,,3.26,4.25,Basic service,No
Zone 1,8,30,Unmarried,1,34,High school degree,9,No,Female,1,No,No,Yes,No,4,0,0,13,0,29,0,0,75,0,No,No,No,No,Yes,No,Yes,Yes,No,1.45,,,2.58,,3.53,Plus service,No
Zone 3,3,36,Unmarried,7,34,Post-undergraduate degree,3,No,Female,3,Yes,Yes,No,No,3,13,24,0,0,7,36,56,0,0,Yes,Yes,Yes,No,No,No,Yes,No,Yes,0.99,2.56,3.18,,,3.53,Total service,No
Zone 3,37,37,Unmarried,7,172,Some college,13,No,Male,1,No,No,No,No,7,0,0,0,0,259,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.92,,,,,5.15,Basic service,No
Zone 3,37,53,Married,13,48,Did not complete high school,10,No,Male,3,Yes,No,Yes,No,13,24,0,10,0,440,876,0,350,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.53,3.16,,2.33,,3.87,Plus service,No
Zone 2,6,30,Unmarried,9,45,High school degree,2,No,Female,1,No,No,No,No,1,0,0,0,0,10,0,0,0,0,No,No,No,No,No,No,No,No,No,0.30,,,,,3.81,Basic service,Yes
Zone 1,48,47,Unmarried,9,72,Some college,13,No,Male,5,Yes,No,Yes,Yes,15,29,0,16,33,732,1352,0,790,1559,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.73,3.35,,2.77,3.48,4.28,Total service,Yes
Zone 2,43,43,Married,3,55,College degree,18,No,Female,4,Yes,Yes,Yes,Yes,9,41,48,16,51,423,1803,1977,675,2245,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.21,3.71,3.88,2.77,3.92,4.01,Total service,No
Zone 2,21,29,Unmarried,7,40,College degree,2,No,Female,4,Yes,Yes,Yes,Yes,5,17,36,19,33,89,387,772,395,654,No,No,No,Yes,No,Yes,Yes,No,No,1.50,2.83,3.59,2.96,3.51,3.69,Basic service,No
Zone 3,6,33,Unmarried,12,26,Some college,0,No,Male,1,Yes,No,Yes,Yes,6,19,0,24,23,35,131,0,125,122,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.81,2.93,,3.19,3.13,3.26,Plus service,Yes
Zone 2,69,51,Unmarried,18,96,Did not complete high school,33,No,Male,4,Yes,No,Yes,No,34,87,0,34,0,2339,5916,0,2180,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.52,4.47,,3.51,,4.56,Plus service,No
Zone 1,22,33,Unmarried,9,54,Did not complete high school,10,No,Male,1,Yes,No,Yes,No,11,22,0,19,0,247,504,0,370,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.40,3.10,,2.93,,3.99,Plus service,No
Zone 1,28,40,Married,1,47,High school degree,9,No,Female,3,Yes,No,Yes,No,8,30,0,29,0,224,775,0,730,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.09,3.38,,3.35,,3.85,Plus service,No
Zone 1,71,47,Married,23,142,Did not complete high school,30,No,Male,2,No,No,Yes,No,32,0,0,82,0,2237,0,0,5520,0,Yes,No,No,No,No,No,No,No,No,3.47,,,4.41,,4.96,E-service,No
Zone 2,7,37,Unmarried,5,57,College degree,1,No,Male,1,No,No,No,No,4,0,0,0,0,24,0,0,0,0,No,No,No,No,No,No,No,Yes,No,1.34,,,,,4.04,Basic service,No
Zone 1,63,29,Unmarried,10,20,Some college,7,No,Male,2,Yes,Yes,Yes,Yes,13,31,62,10,96,868,1944,3779,640,6132,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.59,3.43,4.13,2.30,4.57,3.00,Total service,No
Zone 2,53,57,Unmarried,25,37,Did not complete high school,7,No,Male,1,No,No,Yes,No,8,0,0,9,0,364,0,0,465,0,Yes,No,No,No,No,No,Yes,No,No,2.04,,,2.22,,3.61,E-service,No
Zone 2,50,52,Married,17,36,College degree,16,No,Male,4,Yes,No,Yes,Yes,12,55,0,48,86,616,2662,0,2330,4119,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.48,4.01,,3.87,4.45,3.58,Total service,No
Zone 2,39,31,Married,6,24,College degree,2,No,Male,2,No,Yes,Yes,No,14,0,33,17,0,506,0,1214,600,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.63,,3.51,2.80,,3.18,Total service,No
